id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
36902909,Light cozy room,150321894,Alika,,Praha 13,50.05813,14.33616,Private room,914,2,2,06/10/2019,0.14,1,363
36910772,Double room Hotel Florian Praha,272204633,Farid,,Praha 4,50.05357,14.45707,Hotel room,1100,1,2,22/09/2019,0.14,4,355
36911600,"Praha 4, Private Twin Rooms",272204633,Farid,,Praha 4,50.05298,14.45712,Hotel room,1000,1,2,08/09/2019,0.13,4,355
36943016,Cassiopeia BOAT for 6 -Unique VIEW-15mWALK-CENTRUM,43671219,Pavel,,Praha 5,50.0612,14.41131,Entire home/apt,2374,2,20,30/08/2020,1.5,2,173
36963721,Lovely flat near Center and Main Train station,277858033,Radka,,Praha 3,50.0841,14.44333,Entire home/apt,555,2,36,07/08/2020,2.43,1,42
36965607,classical apartment,277874755,Ihor,,Praha 6,50.1069,14.39015,Entire home/apt,6776,15,0,,,1,90
36970135,Central apartment with - Parking available,123711443,Alexandra,,Praha 1,50.0786,14.42796,Entire home/apt,1152,1,27,12/09/2020,1.82,16,336
36973497,Cosy almost in downtown very nice,17691756,Bogdan,,Praha 3,50.08419,14.45309,Entire home/apt,6660,1,0,,,1,365
36988436,Spacious 2 bedroom Baroque appt at Charles Bridge,92078876,Magy,,Praha 1,50.0865,14.40399,Entire home/apt,1665,2,20,14/03/2020,1.37,7,0
36994196,Comfortable and Sophisticated way of Living,71699452,Andrea,,Praha 2,50.07133,14.43166,Entire home/apt,3216,3,1,03/01/2020,0.11,1,66
36994209,Ubytování na Malé Straně pod Pražským hradem,278134165,Martin,,Praha 1,50.09027,14.40603,Entire home/apt,16800,2,16,06/07/2020,1.12,1,0
36997903,Large terrace one bedroom apartment with parking by easyBNB,123548346,Julia,,Praha 8,50.09611,14.45031,Entire home/apt,757,1,13,09/08/2020,0.91,25,0
36998646,Modern apartment w 1BR located near park and the centre by easyBNB,123548346,Julia,,Praha 2,50.07308,14.44232,Entire home/apt,732,1,1,03/01/2020,0.11,25,365
37011160,Cozy campervan for rent,16095148,Iveta,,Praha 9,50.09875,14.513,Entire home/apt,990,2,16,05/10/2020,1.14,1,54
37011865,"3.08 bedroom cozy apartment,5 min to the center.",242015882,Felix & Světlana,,Praha 8,50.09439,14.45743,Hotel room,2087,1,9,25/07/2020,0.63,22,93
37013205,"3.07 bedroom cozy apartment,5 min to the center.",242015882,Felix & Světlana,,Praha 8,50.09378,14.45818,Hotel room,1772,1,8,12/07/2020,0.54,22,0
37026530,Double Room (short term),195580341,Zeitraum,,Praha 7,50.10416,14.45544,Private room,1281,2,18,03/01/2020,1.25,5,82
37033087,"Big 4-bedroom flat, terrace with great Vítkov view",37031759,Nick And Jenny,,Praha 3,50.08339,14.45168,Entire home/apt,1343,2,25,27/09/2020,1.7,11,327
37036688,YELLOW;) apartment near Prague Heart;),153288207,Anastasiya,,Praha 3,50.08874,14.44529,Entire home/apt,459,2,38,13/09/2020,2.59,27,32
37046469,Cosy accommodation (5 mins to Old Town by metro),235006775,Karel,,Praha 8,50.09521,14.4628,Private room,286,3,41,09/10/2020,2.8,2,101
37051564,PEACOCK studio in the center of Prague,278616676,Kateřina,,Praha 2,50.07913,14.4344,Entire home/apt,580,3,59,28/09/2020,4.05,3,137
37054062,"3.02 bedroom cozy apartment,5 min to the center.",242015882,Felix & Světlana,,Praha 8,50.09442,14.4559,Entire home/apt,1551,1,13,05/09/2020,0.88,22,175
37073872,Family apt at Mostecka st. (Charles Bridge),81230345,Kateřina,,Praha 1,50.0881,14.40551,Entire home/apt,1566,1,0,,,10,345
37086308,Cozy studio in Prague 3,221099677,Jan,,Praha 10,50.07,14.46094,Entire home/apt,1057,3,1,14/10/2019,0.08,2,66
37103357,Prague Private Apartment Non Stop 24/7,270275674,Максим,,Praha 3,50.08282,14.44829,Entire home/apt,813,1,0,,,8,144
37110589,Prague Downtown Studio 5 minutes from Wenceslas Sq by easyBNB ⭐,123548346,Julia,,Praha 1,50.08005,14.42402,Entire home/apt,597,1,20,08/09/2020,1.38,25,365
37110990,Dolce Vita Apartment,105741472,Holiday,,Praha 1,50.08296,14.41378,Entire home/apt,2032,1,13,06/09/2020,0.9,61,16
37111904,Domeček v Prokopském údolí,266256138,Láďa,,Praha 5,50.04066,14.38769,Entire home/apt,300,2,6,15/11/2019,0.42,1,0
37119953,Lovely share room near Vyšehrad and Vltava river,55889785,Chanho,,Praha 2,50.06514,14.42093,Private room,495,1,27,01/03/2020,2,3,38
37122868,Superior apartment Old Town Square,153006941,Kristýna,,Praha 1,50.08693,14.42126,Private room,500,1,42,10/07/2020,2.94,17,311
37123166,Deluxe apartment Old Town Square,153006941,Kristýna,,Praha 1,50.08693,14.42126,Private room,629,1,36,04/09/2020,2.51,17,263
37124797,Single Room (short term),195580341,Zeitraum,,Praha 7,50.10392,14.45436,Hotel room,704,2,21,05/01/2020,1.4,5,112
37129107,Private Apartment (short term),195580341,Zeitraum,,Praha 7,50.10447,14.45389,Hotel room,1036,2,0,,,5,0
37135443,Spacious apartment near by historic centre F3,102354416,Patrícia,,Praha 8,50.09034,14.44004,Entire home/apt,600,2,24,13/09/2020,1.83,20,180
37136280,Double ensuite room in a legendary Žižkov hostel,4711560,Clown And Bard,,Praha 3,50.08327,14.44692,Hotel room,575,1,31,22/09/2020,2.12,7,0
37150055,Design appartment room in quiet part of Prague,153053884,Tomáš,,Ďáblice,50.1451,14.48298,Private room,1500,2,12,23/02/2020,0.83,1,0
37152855,Prague 1 Center Wenceslas Square Apartment,233357062,Vladyslav,,Praha 1,50.0788,14.4271,Entire home/apt,6250,1,42,08/08/2020,2.96,6,120
37162347,"Room for 3, guesthouse near airport and city (15)",18249606,Ezio,,Nebušice,50.1103,14.33139,Private room,1300,1,5,02/01/2020,0.36,2,364
37168493,NEW Old Bridge Prague apartment,64292955,Evgenii,,Praha 3,50.0851,14.48331,Entire home/apt,1310,1,8,23/08/2020,0.65,1,180
37171643,"Vlašská 5, Apartment for 4 in Medieval Building",41717118,Charles,,Praha 1,50.08719,14.40255,Entire home/apt,2846,3,2,27/09/2019,0.14,11,133
37176920,Camera Tortora in CENTRAL Prague 2,273162974,Architecture And Design Contract,,Praha 2,50.07429,14.43793,Private room,813,1,1,04/08/2019,0.07,2,0
37177070,Complete Apartment in City Center,48253119,Daniel,,Praha 1,50.09091,14.43081,Entire home/apt,639,2,47,25/09/2020,3.33,27,81
37179411,bellissimo appartamento in Central Prague 2,273162974,Architecture And Design Contract,,Praha 2,50.07403,14.43713,Entire home/apt,3795,1,2,29/02/2020,0.17,2,0
37180245,"2kk на Zličín с паркингом, рядом с метро.",279718635,Katerina,,Zličín,50.05665,14.28401,Entire home/apt,1084,3,14,13/09/2020,0.99,1,365
37211705,NICE SINGLE room not far from center,16182283,Mikhail,,Praha 13,50.06434,14.31794,Private room,825,1,11,03/01/2020,0.77,1,90
37212769,A cozy flat with FREE PARKING and TERRACE,114360412,Binh Thanh,,Praha 3,50.08319,14.44802,Entire home/apt,1586,1,44,18/09/2020,3.37,1,89
37229389,☆ Central Quiet Studio ☆ - Parking Available,123711443,Alexandra,,Praha 1,50.07807,14.42489,Entire home/apt,1266,1,62,11/09/2020,4.33,16,1
37234237,Old town apartment from the great host ),280327153,Sergej,,Praha 1,50.09079,14.42804,Entire home/apt,1800,2,3,03/01/2020,0.23,1,87
37234902,PRIVATE GREEN ROOM IN CITY CENTRE/AIR-CONDITION,23208630,Frank,,Praha 1,50.07744,14.42334,Hotel room,1322,2,24,24/02/2020,1.72,20,64
37238427,Cozy Attic Suite under the Prague Castle,60747098,Ivana,,Praha 1,50.08692,14.40363,Entire home/apt,1602,1,1,11/08/2019,0.07,3,0
37242663,Victoria Design Showroom w/ Private Bathroom,2701246,Michal,,Praha 3,50.08998,14.46674,Private room,674,1,7,18/09/2020,0.62,5,22
