id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
34490399,Da Viola e Carletto!,1664534,Viola,,VII San Giovanni/Cinecittà,41.88593,12.51616,Entire home/apt,80,1,3,2019-10-07,0.19,1,365
34492043,Prof House B&B,260348499,Angelo,,VII San Giovanni/Cinecittà,41.87237,12.5312,Entire home/apt,50,1,2,2019-06-24,0.11,1,0
34493642,Double Bedroom with private bathroom,260357935,Francesco,,I Centro Storico,41.90927,12.4576,Private room,50,1,4,2019-12-23,0.24,3,187
34493981,ROMA Relax City and Nature,105099525,Brunella,,XV Cassia/Flaminia,41.9643,12.4541,Private room,35,1,6,2020-01-01,0.35,1,365
34494604,BILO 2 camere 2 bagni a 10 min Tiburtina,13470526,Sergio C,,IV Tiburtina,41.90484,12.53967,Entire home/apt,65,3,0,,,11,364
34498284,Margherita Suite,230623066,Carlo,,I Centro Storico,41.90717,12.4692,Private room,49,1,0,,,2,362
34500160,4 Venti House,257306083,Cristina,,XII Monte Verde,41.88216,12.45907,Entire home/apt,80,3,4,2019-12-29,0.25,1,116
34501381,La casa di Riki,82980315,Arianna,,XIII Aurelia,41.89761,12.42978,Entire home/apt,51,2,19,2019-10-27,1.14,1,0
34501539,Opera House - Monti Area,162347026,Alessandra,,I Centro Storico,41.90027,12.49515,Entire home/apt,86,1,21,2020-08-29,1.24,19,360
34505454,affittacamere bad and breakfast Termini Roma cam 1,260402386,Casa Roma,,I Centro Storico,41.90513,12.49978,Private room,28,1,41,2020-09-17,2.64,4,178
34505675,Affittacamere Bad and breakfast Termini Roma cam 2,260402386,Casa Roma,,I Centro Storico,41.90336,12.50002,Private room,35,1,52,2020-02-25,3.11,4,180
34506496,"Villa with gardens, 20-minute walk from fiera roma",4330913,Monica,,XI Arvalia/Portuense,41.82145,12.31428,Entire home/apt,55,3,0,,,1,0
34506952,Holidays Suites Navona -4,260435689,Alfredo,,I Centro Storico,41.90081,12.47189,Private room,75,1,3,2020-02-23,0.18,4,363
34507286,Ad un passo dal Castello,260441873,Raffaele,,I Centro Storico,41.90005,12.46665,Entire home/apt,55,3,30,2020-09-26,1.75,1,65
34507288,Holidays Suites Navona -3,260435689,Alfredo,,I Centro Storico,41.90018,12.47386,Private room,104,1,14,2020-02-24,0.93,4,1
34507491,Holidays Suites Navona - 2,260435689,Alfredo,,I Centro Storico,41.90093,12.47175,Private room,70,1,12,2020-02-23,0.75,4,364
34507739,Holidays Suites Navona - 1,260435689,Alfredo,,I Centro Storico,41.90015,12.47235,Private room,60,1,0,,,4,358
34508854,Affittacamere Bad and Breakfast Termini Roma cam 3,260402386,Casa Roma,,I Centro Storico,41.90337,12.49978,Private room,60,1,53,2020-09-06,3.39,4,175
34508916,Affittacamere Bad and Breakfast Termini Roma cam 4,260402386,Casa Roma,,I Centro Storico,41.90394,12.50178,Private room,42,1,62,2020-09-13,3.67,4,176
